Vendor ID,Vendor Name,Country,Territorial Scope,Environment,Type of Service,International Transfer,Cookie Max Age (days),Data Retention (days)
799,Adpone SL,Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER",Web,Header Bidding Service,No,120,120
623,Adprime Media LLC,United States,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Campaign Analytics","Adequacy Decision, SCCs",14,90
902,adQuery,Poland,"DE, PL",Web,"SSP, DSP, Ad Serving, Header Bidding Service, Identity Resolution Service, Audience Analytics",No,,90
834,ADRENALEAD,France,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Other","SSP, Ad Serving, Header Bidding Service, Content Delivery Network",No,365,365
1072,Adrino Mobile Sp. z o.o.,Poland,PL,Web,"Ad Serving, Header Bidding Service, Buyer",No,,360
224,adrule mobile GmbH,Germany,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","DSP, Ad Serving, Header Bidding Service, DMP / Data Provider, Buyer",No,365,364
1212,Ads Interactive Network Kft.,Hungary,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile)","SSP, DSP, Ad Serving, Header Bidding Service","SCCs, BCRs",14,14
613,Adserve.zone / Adserve AS,Norway,"DK, FI, NO, SE",Web,"Ad Serving, Campaign Analytics",No,30,30
430,AdServing Factory srl,Romania,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB",Web,"SSP, Ad Serving",No,,1
1435,ADSGO SL d/b/a ESCALAX,Spain,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB","Web, Native App (Mobile), Native App (CTV)","SSP, DSP",Adequacy Decision,140,1825
1483,Adsinflow,Ireland,"AT, BE, BG, HR, CY, CZ, DK, EE, FI, FR, DE, GR, HU, IS, IE, IT, LV, LI, LT, LU, MT, NL, NO, PL, PT, RO, SK, SI, ES, SE, CH, GB, OTHER","Web, Native App (Mobile), Native App (CTV), Other","SSP, Ad Serving, Buyer, Campaign Analytics",SCCs,365,90
941,ADSOCY,Spain,ES,"Web, Native App (Mobile), Native App (CTV)","SSP, DSP, Ad Serving, Content Delivery Network, Recommendation Service, Website Analytics, Campaign Analytics, Audience Analytics",No,300,60
6,AdSpirit GmbH,Germany,"AT, DE, LI, CH","Web, Native App (Mobile)",Ad Serving,No,30,60
